,words,tfidf,topic
12,point,0.03847540843281824,1
13,social,0.036504078086918024,1
14,understand,0.034322930060185414,1
15,girl,0.029869474846176896,1
16,mean,0.027996148303879507,1
17,self,0.02715900525560314,1
18,sorry,0.02642330046041257,1
19,speak,0.025353770355282138,1
20,spend,0.02533360920034085,1
21,meet,0.024886767482788324,1
22,therapy,0.024770278796351162,1
23,group,0.024510044687391288,1
24,conversation,0.023219557518685315,1
25,play,0.02316319591945429,1
26,probably,0.022086064753946092,1
27,date,0.021677004075578866,1
28,happy,0.021670002799053418,1
29,hold,0.021396093861540778,1
30,therapist,0.020343815920174955,1
31,anymore,0.0202550944850303,1
32,struggle,0.02024409758659063,1
33,game,0.019287825539855186,1
34,enjoy,0.01909375105627684,1
35,shit,0.018937944123386067,1
36,guy,0.017216305467090385,1
37,guess,0.017160088014484796,1
38,hate,0.016969394144487702,1
39,idea,0.01666450828860797,1
40,hear,0.01658599152254212,1
41,great,0.016512956976537933,1
42,true,0.016504213023579028,1
43,text,0.016495302167195646,1
44,act,0.01649141196801492,1
45,fun,0.016293920674938452,1
46,honestly,0.015386313561691069,1
47,hang,0.015173551012918169,1
48,easy,0.015110318227509545,1
49,stupid,0.014763670961039978,1
50,age,0.013839903939997416,1
51,message,0.013829382510260746,1
52,word,0.013692459760849625,1
53,partner,0.013570520528109456,1
54,wish,0.013447558783237156,1
55,simply,0.013423603001327005,1
56,woman,0.013255876153685871,1
57,video,0.013073168249923899,1
58,truly,0.01304092467451864,1
59,emotion,0.013038957111893639,1
0,lot,0.05640420477567912,2
1,thought,0.04793157117716984,2
2,use,0.04685325724506442,2
3,long,0.046641223942051446,2
4,fear,0.042170452240713585,2
5,mind,0.04061243374721657,2
6,post,0.038135275364051646,2
7,hard,0.03657026337459304,2
8,problem,0.03334804744974029,2
9,issue,0.03241853756695234,2
10,kind,0.02865699285801718,2
11,etc,0.02856084632950859,2
12,deal,0.02805056720798924,2
13,hope,0.027184760435251535,2
14,write,0.02666172393280925,2
15,turn,0.026327092999305888,2
16,lose,0.02623271739240113,2
17,different,0.02619423415904486,2
18,worry,0.02603475294212199,2
19,thank,0.025503812869156626,2
20,believe,0.02536044329482304,2
21,wrong,0.02534866121105112,2
22,reason,0.025303497741105577,2
23,advice,0.024646986011335196,2
24,actually,0.024478689438575178,2
25,pretty,0.02351175681637094,2
26,big,0.02285834649500657,2
27,depression,0.021539131158930334,2
28,story,0.02117877655880718,2
29,fact,0.02097019101510549,2
30,disorder,0.02087277857779009,2
31,moment,0.02081968518925956,2
32,general,0.020168686278806292,2
33,grow,0.019939608238175918,2
34,especially,0.01974962626746295,2
35,face,0.01959271660232272,2
36,realize,0.019496673246010263,2
37,young,0.019477083041662267,2
38,kid,0.018806471632863437,2
39,share,0.018784576438668866,2
40,appreciate,0.01857933893236401,2
41,trigger,0.01773910404214928,2
42,consider,0.017707183984296885,2
43,basically,0.017444677311961688,2
44,afraid,0.01743324455651388,2
45,stuff,0.017363472304830988,2
46,remember,0.01726190078512856,2
47,constantly,0.01695366785044292,2
48,lead,0.016688876329242677,2
49,begin,0.01643581571287864,2
50,explain,0.016350678929511465,2
51,sort,0.016240102129222462,2
52,manage,0.01622528988944107,2
53,figure,0.01622479771779883,2
54,difficult,0.01596529474165136,2
55,real,0.015944011508162593,2
56,watch,0.015735196103290525,2
57,low,0.015434402586191736,2
58,possible,0.015322154083495647,2
59,absolutely,0.015251464586273302,2
0,night,0.06354200059699822,3
1,hour,0.056516550004281324,3
2,sleep,0.047641058714162215,3
3,happen,0.04635033708387662,3
4,wake,0.04464231296060414,3
5,away,0.041182483200529224,3
6,little,0.04024227994977819,3
7,bed,0.03991171654633506,3
8,fall,0.037797227043174744,3
9,sit,0.0350632067630233,3
10,bit,0.03214025899066891,3
11,cry,0.030621427369085855,3
12,later,0.029279644563505975,3
13,asleep,0.028953263679505622,3
14,sure,0.027147826359421787,3
15,run,0.02685912971602081,3
16,maybe,0.026685054313555476,3
17,walk,0.026665058974843423,3
18,minute,0.02489978380804284,3
19,room,0.024561534849149375,3
20,stop,0.02378261614011704,3
21,today,0.023533377632408568,3
22,hand,0.022895580517938375,3
23,eat,0.022895311936075528,3
24,morning,0.021671961158342055,3
25,couple,0.02096681439563328,3
26,completely,0.019568589936838635,3
27,second,0.01876906732256613,3
28,outside,0.018590197974399012,3
29,finally,0.018265186449627633,3
30,door,0.017976174054135163,3
31,30,0.017780719520331275,3
32,calm,0.017451095341900345,3
33,hit,0.017342412580678885,3
