,words,tfidf,topic
0,job,0.09382335449301626,2
1,family,0.07620128005062793,2
2,live,0.07042462254964871,2
3,home,0.06542103433804117,2
4,come,0.06532006852417888,2
5,find,0.063710430232362,2
6,leave,0.06263281710735102,2
7,month,0.06194585436289235,2
8,parent,0.06176034955734733,2
9,old,0.05941454892669787,2
10,mom,0.047933563484015784,2
11,money,0.0465970887502669,2
12,dad,0.04566070853730195,2
13,lose,0.045566130000386174,2
14,pay,0.0449225016819656,2
15,away,0.04391876641482684,2
16,break,0.04123303529624894,2
17,ago,0.04109074747324987,2
18,mother,0.04005940409414203,2
19,mental,0.039844874321383034,2
20,place,0.03700366464945551,2
21,right,0.03658172613472027,2
22,health,0.03601425655976509,2
23,kid,0.03599227948634863,2
24,father,0.03518057813937139,2
25,able,0.03514972391259599,2
26,close,0.03483884409518548,2
27,grow,0.02995115412848424,2
28,situation,0.029416195162233507,2
29,brother,0.028761732866729162,2
30,sister,0.02629210609077062,2
31,plan,0.026239978349300915,2
32,struggle,0.025999458551977935,2
33,car,0.025397912064042304,2
34,child,0.024977163410591096,2
35,finally,0.02490935395200469,2
36,age,0.024901323328862645,2
37,young,0.024484979688810023,2
38,support,0.02440711409627677,2
39,state,0.023532784105573853,2
40,graduate,0.022566991049039708,2
41,country,0.021946804109496922,2
42,couple,0.020446088195081643,2
43,suicide,0.020173628744733715,2
44,deal,0.018989070253542125,2
45,buy,0.018582544629165764,2
46,childhood,0.01855355304898084,2
47,fight,0.018360540418207835,2
48,abuse,0.017928641233159095,2
49,degree,0.017377314585875162,2
50,rent,0.01724955939443117,2
51,abusive,0.017197167569165103,2
52,afford,0.016897493411705208,2
53,girlfriend,0.01674553341458058,2
54,19,0.016666453192969288,2
55,attempt,0.016634684947486097,2
56,city,0.01636002095445931,2
57,bill,0.01595210965780646,2
58,current,0.01591409022255318,2
59,soon,0.015815033909536255,2
0,school,0.08075352390287444,3
1,class,0.048563949518907384,3
2,let,0.040522446082600416,3
3,grade,0.040215325852449205,3
4,little,0.03537007224732325,3
5,turn,0.03023917182736865,3
6,fail,0.027961685036037253,3
7,stress,0.026253396729329716,3
8,drop,0.02558160627497572,3
9,bring,0.02538710286510015,3
10,big,0.024835585421876635,3
11,student,0.023030839994514055,3
12,decide,0.02298176255522918,3
13,teacher,0.02227704534241526,3
14,finish,0.021117036305569385,3
15,pass,0.020967656925581165,3
16,mention,0.020727406524029875,3
17,semester,0.019897716965600158,3
18,run,0.019463318446296975,3
19,force,0.018326918130435712,3
20,second,0.018281211745579628,3
21,entire,0.01791794567042029,3
22,test,0.015827618521516092,3
23,send,0.01570070479460275,3
24,waste,0.015534855164984774,3
25,lead,0.015170376720324853,3
26,instead,0.01489540339386161,3
27,apply,0.014733290912835767,3
28,focus,0.014335327335893709,3
29,middle,0.014120182041495682,3
30,follow,0.014024633351277202,3
31,failure,0.013625602996218301,3
32,step,0.013574134920747006,3
33,suppose,0.013411211067278299,3
34,chance,0.013258874511840239,3
35,rest,0.012992588051461638,3
36,complete,0.012648516625428095,3
37,poor,0.012539252659787387,3
38,multiple,0.012398662300026486,3
39,smart,0.012347313188562642,3
40,amp,0.011763568579035292,3
41,level,0.011744267565484,3
42,x200b,0.011573496363874508,3
43,huge,0.01127464047746962,3
44,catch,0.011226821212559952,3
45,mistake,0.011076655183495805,3
